zotero_link|creator
GR73VWI9|Theobald
RPPSPKUR|NO_CREATOR
PXWC6ZF7|Thompson
STN8HSMF|Davis
VKTX3NUU|Clements
C9KNTRET|Sreenivasa_Murthy_Ramakrishnan
6UMKSXDU|Kuehn
CG8UGMAT|Kenoyer
JPE2K2D5|Anderson
FMRR3R9M|Roberts
AVE8E9NQ|Lahiri
4WHSUJGD|Haider
XSEGK97H|Hin_de_Ligt_Northwood
TZ8RVS96|Farris
NEPRQT8A|Lindsay
GAUEFVNM|Aldrete
E23IDBS4|Coningham_Korisettar_Settar
79BVTXM3|Jaques
Z9DX8TD7|Jaques
QUK4INRC|Bryant
8AA4ZMXU|Roberts
HP4FPUVE|Wiedemann
7UJ34KGU|Bunson
3MV8GUCH|Wells
TB65XM4I|Hanley
MEFQ42H8|Moralee
QHJ5JKBW|Shahnawaz
KAFVCMAB|Kirby
CW2D86U3|Curti_Bispham_Smith
RWZ8HIAT|Kowner
SZA479N8|Playfair
7ANKD6T5|Tyerman
RBKS9A4D|Jeenah
D5FUINNW|Adkins_Adkins
P6DP9NC8|Deal
CJP4QB4R|Kinsley
RQ922SBA|Collinge
RNTTG5WU|Basham
QNKSQ22K|Miller
ZBDZZTX7|Malik
W3QBJJVM|Frederic
29K8EC55|Hall_Toyoda
3QH2TNDH|Farris
FG685JJ6|Kennedy_Porter
9JZ8XIW5|Goble
49T9A33C|Drekmeier
566GQGGP|Howatson
CWE3GJEG|Morrison_et_al
B4MCC4F2|Marshall
293I46SA|Edwardes_Garrett
7PIXS4M3|Sivapriyananda_Auwa
23GKKQ4V|Birch
VMEWXISD|Younger
SIUPSE74|Ikegame
TUZPITS2|Swanson
IWBJSZWE|Maclean
9B489ZHE|Beard_North_Price
3XXF8FPW|Beard_North_Price
K6RCUEBK|Clark
HRWWEC4T|Boivin
K5CI942C|Kessler_Zacharias
XFE6EUWU|Hibbert
M4E9T7IR|Johansen
BUI9EC3T|Peregrine_Ember
46QCS68G|Tanner
KKWA9MT3|Murowchick
AVB94HR2|Shimada
X4JIUZNR|Holt
K38GFI79|Bernard_Aruz_Fino
25QUDCM7|Friday
TVJDN42S|Bryant
IXHNAPJX|Beck
N4B2T4G4|Schrodt
28CH7MII|Vishnia
S3EKHKGK|Wright
5P92SHE8|McIntosh
EZAWV4IR|Holloway
FJAPANW2|Bartlett
NABCI9IF|Ferejohn_Rosenbluth
UBIXP4TZ|Pare
KVEG9GVP|Hall
MFIHE3UI|Hodgson
RZTK47HZ|Witzel_Flood
5MT69ZDC|Anderson
5F9JX9CI|Roy
IQ5RG7C9|Bellah
6Z3ID3T7|Ardeleanu-Jansen_Korisettar_Settar
RR93ATGX|Srinivasan
R949GZSW|Beard
4CIHKTIG|Haleem_Porter_Saif
D9E33SHC|De_Grummond_Simon
B6468FWU|Johansen
BK3RAIB7|Arnold
8RA4V39U|Stein
D32VXTIR|Eraly
8I62MRXK|Gerhart
6W7CZE5E|Davidson
8KH357GV|Hall
NJHPTUJ8|Pauketat
9S84RHQM|Possehl
H9USB744|Abdel_Haleem_Porter_Saif
R95765Q9|Dirks
A7AUHMMZ|Hopkins
AUHITJDT|Craig
C877T4HD|Emerson_et_al
QU7PNRMC|Gibbon_Peregrine_Ember
QX9UG55P|Mordant_Fokkens,_Harry_Harding,_Anthony
2PQEDZ2I|Otte,_Marcel_et_al
3ZA57Q27|Marcigny_et_al
IW3IVGT7|Docherty
IBRAVRD7|Mori_Hose_Schenker
3ENDA26P|Mairs
HIB5JTCU|Bernard_et_al
MJKQA3W5|Hart
PT8275IS|Illinois_State_Museum
2VQKWPMN|Walthall_et_al
IDG32ZN9|Havard_Englebert_Teasdale
XQWPU4VH|Walthall_Emerson_Walthall
ERGSEABJ|Milisauskas_Kruk_Milisauskas
XHZC4QMJ|Garcia_Peregrine_Ember
3WZUVAWW|Young
AF5T4T28|Tyldesley
CNG67KKA|Kent_Flannery_Marcus
QKPEF5Q8|Flannery_Marcus
SHF4S8D7|Flannery_Marcus
JPXCWSSG|Joyce
JH54I6Q3|Kowalewski_et_al
Q32UJUPX|Jarrige_Enault
IWNUD7IH|Possehl
4MKZA34B|Jarrige
VSKJ2ISU|Balkansky_et_al
TD2AIF67|Callender_Trigger
MSCKG4VN|Turchin
VBU9DM95|de_Ste._Croix_Whitby_Streeter
P6I3ZN9H|Schwimmer
43MKIK3Q|Schwimmer
478S3TIW|Schwimmer
67ZSSCMV|Williams
WKAV25JV|Beierle
CRIJIVUC|Harner
XFKDKSW3|Fage_et_al
ZJ844XUN|Gilbert_Lagacé_Skoggard
S34XJRJ7|Karsten
JZ5DSUEB|Masson_Dani_Masson
FHI7P8X5|Daquah
D8XJXKR8|Warren
EUKTMSXD|Mensa-Bonsu
BTI323AP|Wilks
REVSHE82|Illinois_State_Museum
ZDDVHJMV|Morrissey
8H2XHS76|Nichols
QS4Z9FFR|Hauser_Gallay
RS692TAZ|McLeod
87N692IT|Arhin
P8MFGRGQ|Obeng
HP8FUBVP|Gogolev
RMD7JS3P|Sieroszewski
8XJFE4B8|Popov
33HFSJ4A|Burling
KQ7UM4QV|Khaleque
WZ556ZF8|Sutlive_Beierle
TMZDKXSW|Sandin_Sather
WM8K7K24|Freeman
2CI3S8WF|Graham
AF5PABXA|Cunliffe
54TJU54R|Bollig
5IETI75E|Goodenough
9AS4QQVB|de_la_Vaissière
663MB8CA|Caughey
NWVCFNW7|Isakov
55UFXZ5M|Sutton
48WCJTCC|Frumkin
5AW7RCHD|Marshak
3Q374I8B|Briggs
I3JMH2NZ|Warren_Walthall
7P9VHMMN|Illinois_State_Museum
BXSPVG92|Morgan_Lloyd
A43ZSPMP|Foley
BV3EXTT3|Fenton
ZCBFB83M|Reid
RZAD7E5P|McMahon
IKGC9NGJ|Masson_Dani_Masson
VUIEUHVK|Singh
VAWK3Z9E|Gabriel
37G4SSGG|Clark
5Q53QHG7|Sen
5T7BBX36|Subramaniam_Farazmand
D2BJXEC2|Horsman
QZA3GBJ7|Liu
JZ73UGSF|Sinopoli_Stark
75K68G84|Neelis
KEWTMPWX|Benjamin_et_al
67NGJHIK|Hill
UXEGQFPU|Perkins
S7GPCJ9A|Ross_Steadman
9DB56EP2|Major_Cook
6J7SN4JD|Shelach-Lavi
KPQQWPK6|NO_CREATOR
KVA5IWCB|Wang
US2DEMG3|Stilt
HC5A5QFR|Mason_Caiger
CW6B4KVV|Puri_et_al
TMRCJ9QP|Grenet
97W9PEID|Mukherjee
M5IS3SBN|Sangma_Sangma
TXQNUE8P|Roy
TZXMWMN5|Majumdar
7DRZQS5Q|Liverani_Tabatabai
IIDGFEPA|Diakonoff_Gershevitch
2SDF8S3B|Carter_Stolper
3ACKKUDJ|Vallat
CS3PXEIH|Marak
W7PJ27C6|Kar_Sangma
8JSUC58W|Bryce
2MD3WV2T|Stephens,_Jr.
38EMV897|Bryce
GD78HCEV|Balzer_Skoggard
F428XZIE|Gogolev
9RS462P7|Haine
FTJS2I4W|Jochelson
WEZG6MTS|Sauer
NVMM9G55|Steve
IXD6RNNR|Hansman_Gershevitch
JH4EIDJU|Waters
RZWRCEPH|Brun_Arnold_Gibson
6KEQJQHU|Walters
4W92UNAD|Dresch
UJZUBQH3|Safa
DD3SKZCS|Mundy
BT6A8ZH6|Drew
WDUEEBGQ|Potts
WF4UWMWH|Álvarez-Mon_et_al
7QCEQCM6|Knecht
7AECU3SR|Jones
DVCUX6RX|Potter
AS4GBR8U|Reid
Z9NGT72X|Diamond
6SM6XJP6|Fadiman
TWKSXKI8|Graham
JEZFIU2N|Ladurie
ARUIRN35|Wood
ZDQNCFQQ|DeVries_Smith
9KQATXPQ|Amiet_et_al
T6UFW9CW|Henkelman
BEAERFCW|Potts_Daryaee
FNBS27FT|Stemberger_Tuschling
DT5E5GNS|Loseby_Wood
SG5XNFPG|Bachrach
Z5EZBP2R|Halsall
HS8644XK|Clark_et_al
2BWW9KRM|Briant_Kuhrt
KKX2FPFB|Röllig
6HWAI37J|Kaufman
CHKFPEHR|Bonnet
NEQVQFED|MacMullen
SRWVHUTT|Tomkins_Momigliano
P6XBRAKC|Tomkins_Isaakidou_Tomkins
GT2AINW4|Fouracre_Wood
GR2MKFDX|Fanning_et_al
K6F5NBFF|Anderson
QFJ832AU|Agoston_Masters
VR7DEQG3|Strasser_et_al
9TJ7CEP6|Fernández_et_al
RVNBC48R|Broodbank_Strasser
F3ZBDZSD|Chazelle_et_al
K3U2V585|Chazelle_et_al
QHXZFXS3|Nicolle
J93C7T3S|Chazelle_et_al
IZK522AK|Boulton_et_al
QI73FMSM|Percy,_Jr._et_al
Z3F9HKUJ|Percy,_Jr._et_al
B8B3HGFK|Etheredge
XSFRWX7E|Bradbury
HHFUSQER|Pegues_et_al
HUKZMF9J|CNRS-ENS
D2ET47FZ|Brun_et_al
F9D9PI8A|Allen
XPKX7SNP|Pare
QFU68CIQ|Collis_Arnold_Gibson
2HS6EBNS|Collis
PMS9IF2F|Fernández-Götz_Krausse
UCHAFPNT|Barnwell
CTAXNA8X|O'Daly
X4MRBMMX|Venning
N7ZCQTEW|Spufford
S2RA6VRR|Martin
H7UJDBAS|Henneman,_Jr._et_al
UH73VNTJ|Pegues_et_al
ZVMB3BUD|Suarez_et_al
IWUQDWBR|Scott_James
583XXU9Z|Arnold_et_al
JBFZ35AI|Knecht
QNKPVDH9|Lenski
69WW7PHW|Friell_Williams
GJDJ6MTB|Gjerset
RAGI9NJP|Karlsson
TKPMCEGV|Byock_et_al
BH4V87MW|Amory
BGRECHFF|Holmes_James
ER3VT7RH|Crow
J3SBC5U7|Pritchard
ZKUWEXJW|Hornblower
XFW2PXHM|Ellis
5HAADQHE|Lapidus
EZ72IQVI|Puett_Scheidel
PS48CX2F|Bosworth
Z45BW69X|Westerfeld
WICX337U|Lindow
F6SPQXBN|Anderson,_Jr.
Q2BTDGKZ|Gyekye
K5TQNBAC|Coetzee_Roux
5NJEQ6DX|van_der_Geest
P9GNHQ4K|Ben_Lazreg_et_al
7CE7VFDV|Ørsted
VZE9FTTD|Dietz_Sebaï_Ben_Hassen
HTU2HHX5|SALAMA_BESOMBES
BZXKBGHH|Callu_et_al
8QTF8ZHP|Naster
Q73GUHMI|Burg
X87SHFX7|Johnson_Hook
KA4QX6HF|Barr
K6DJ97CG|Dossey
NNKC32J9|Mackensen_et_al
PEPQPTTA|Bonifay
GTG4ZWAI|Fentress_et_al
7HZH7QXR|Bes_Poblome_Humphrey
U93PCBFV|Wilson_et_al
2DERN2AE|Williams
6972BVCE|Powers
FGJEV5Q3|Kaegi
HHTJC2UF|Bosworth
88RPV5U3|Bianquis
95AN3I4G|Elbendary
BE9T7VS9|Oliver_Atmore
PDNUB9E7|Garcin
J99HIMED|Mitchell
ZN7H5F9Z|Axelrod
MUQ2KKQQ|Brandão
HABDQG2T|Jones
VHWPIGI2|Makowsky_Rubin
7ZWQFWW8|Madelung
FPPC5MGF|Faizer_et_al
AQT455MS|Lasaulx
I4M6MGBG|Jensen
D7HXZSCG|Beckwith
FZUGUXZ3|Watts_et_al
UFPAWC5R|Eisenstadt_et_al
7CNXSDGN|Arnason_et_al
BQTS9BT7|Parfitt
5HF7UGGQ|Assmann_Bellah_Joas
TVK3KQ62|Bellah
QR77EGA6|Milner_Chaplin_Zavodny
6TKGFB8K|Greenberg
SHEGS58X|DuVal
BU9D9TGX|Burns
C8U4Q6VE|Weltfish
Q4J43VMC|Rogers_Smith
NSQK93G4|Müller
GN5NVMDD|Noreña_Barchiesi_Scheidel
N8QB3MB3|Lendon
FDD9ETQP|Llewellyn-Jones
N6I6P68R|Bowman
6PVHG4VV|Eisenstadt_Eis
575T467S|Eisenstadt_Eis
N5PTIU9Z|Elkana_Eisenstadt
GRT3SCPA|Puett_Durant_Shankman
5INFFF45|Gavrilets
5SGQQMCB|Mattison_et_al
D883DH6X|Carballo_Roscoe_Feinman
I9NG6J7S|Boyce
ZTWQJE7X|Makdisi
68X88U6D|Mazama
WT2JUPN5|NO_CREATOR
BJXG7P67|Cooperson
64H3G6RN|Petrovic
HHSH9JCD|Cooperson_et_al
UQAX8JAN|Muhanna_König_Woolf
2SENBQNS|Diuk_et_al
37U9A5WK|Wittrock_Benjamin
HRWP3UXV|Murdock_White
6DE79MX8|Chakravarty
KK49FNUV|Korotayev
2H667ED4|Trigger
D5FQ3VZD|Feinman_Joanne_M._A.
KA6IIHFD|Yoffee
6823XS3F|Millar
B2W55SE9|Heather
B6JJ5DUU|Golden_Ben-Shammai_Roná-Tas
BCFNENSN|Strmiska
2A69NP4C|Rorlich
EEZNERJS|Atwood
IGCTC3Q9|Ágoston_Masters
8GERE57F|Todd
6VIVTM6C|Verboven
IK7NJ3DB|Mckenna
T6WAMHBM|Loimeier
7EJ727ZA|MacKenzie
2PZN6C5B|Hofer
TSKCWVTM|Homerin
83J2QEBD|Masters
6I7PQPPE|Esposito
GN8IEET3|Syad_Akhtar_Usmani
EPUKWCDP|Weiss
HJ2KNBMZ|Darling
4SIUZJHI|Black
P8ISZ236|Dandamayev_Medvedskaya
9GR3HTS6|Stewart_Herzig
PB2SDPIZ|Amitai
VFZ7INWU|Shahmoradi_Moradian_Montazerolghaem
6QRKKXDB|Ziad_Meri
84TXXUXF|Monson_Scheidel
SEZN27TH|Monson_Scheidel_Monson
Z27UR283|Horky
853FR38U|Shimin_Asimov_Bosworth
6FUXX8D5|Harris
8EH8WRDR|Nizami_Aslan_Bosworth
HDWQMR8H|Vásáry
PG9MHRIA|Sasaki_et_al
V28L5499|Benjamin_von_Reden
DKNIEZCX|Ghosh_Jayadat_Ghosh
BHH5W2PV|Bisschop
B8IJH6MH|De_Silva
ZMK5CFI6|Walsh
HEBMPGE5|Parpola
KGEXMJDF|Grayson
ZNGXZKXE|Franke
37QTC87R|Goodfriend_Dorff_Crane
4SUQC23J|Solomon
CGWF5ACK|Berkey
AUHRSTGG|Hoyland
2C3SWJ2E|Ryckmans
HQTI6V7R|Cohen
4895E68R|Hoopes_Lange
68HD9SQP|Quilter_et_al
6ERS93SR|Hoopes_Peregrine_Ember
R55VZ7TB|Carvajal_Contreras_Hansell
S38HIP5R|Isaza_Aizpurúa
T3P943WZ|Bentley
UCZG6PZJ|Southworth_Ooi
4J48I4HG|Crosby_Ooi
PPDFFZ96|Martin
555ASTE9|Haller
4C3C24MW|Appleyard_Parry
45T3B5KF|Bradshaw
RH62X5QT|Quilter_Quilter_Hoopes
ZKPEENG6|Rodríguez_Ramos_et_al
A9U2WGG2|Tejeira-Davis
2CKBDD8E|Hearne_Hearne_Sharer
PZ6I2CRR|Drennan_Earle
PENG6QBC|Myers
9BTQQ8AX|Hoopes_et_al
QW6TJ7HM|Buttrey_Humphrey
7SWRRI6T|Ponting_Bowman_Wilson
F82RWQU8|Lange_Evans_Webster
Q3Z2JZUJ|Lothrop
KC58NBRR|Rogers_Cegielski
IPHPU92K|Mendizábal_Archibold
PI3RI9WD|NO_CREATOR
G2ZTZUKM|Cooke_et_al
K4RMNS7S|Ostrom
R4I9UT96|Lothrop_Ekholm_Willey
QEWTS3ZB|Creamer_Haas
VC2SNW26|Locascio_et_al
DD4A9HF2|Isaza_Aizpurúa_et_al
ZBCIE7GI|Helms_Brumfiel_Fox
R67IJ9XP|Talbot
XJ8CF927|Sastry
EGHB3SUF|Subrahmanyam_Ayyappappanikkar
XQZ9DN8T|Sastry
KXBH3VEF|Majumdar
BIAVMG4C|Sastri
FAX3XGR9|Sheikh
SGXTBMNU|Eaton_Ansari_Qasemi
BJPXZHID|Beard_North_Price
GQ6C634Z|Van_de_Mieroop
7I7VV6AJ|Reeder
EET4X8GP|Orschiedt_Kurt_Andreas_Bergsvik_Robin_Skeates
Z7S87ATC|Backe-Forsberg
9WT252V8|Hermann
6DA9E8UH|Reid
5SUF3AP7|Green
5KXZCTZ9|Montgomery
435VTF4B|Reinold
9UWJCREF|Bowen
879ZPTQ7|Colla
H7NA4JX6|Tacitus
3KEBFNU7|Campbell
P97EVXDE|Lichtheim
WQ5DXKVU|av_Bremen
H87VM3SH|Cockburn_et_al
PVDNA7UV|Scarre
MS3KB3SK|Aldhouse-Green
JPJQT8UI|Potter_Winkler
75TKSRZD|Yoyotte
FH9T7ASD|Jelínek
2PB88PT7|Garcin
B7VANE6E|Winter
A2TFJWEB|Pearson
SSKX2GV4|Stevenson
KSVA6DKT|Sestieri
GIJPMMGE|Davidson
U2IH8NWX|Welch
SJ937XD9|Myśliwiec_Lorton
SNJ66ZIQ|Muhlestein
8RMRQM4U|Mitchell
4XNPTAN3|Sijpesteijn_Bagnall
6I9MSG5I|Brunaux
T4FZHTS3|Krauskopf_Thomson_de_Grummond_Simon
B65TMQBM|Ritner
G6S4H6SB|Castells
FL82HVS4|Castells
2Q7CRRDJ|Hobsbawm
8B7TD4TT|Hussain
4PEPW2XJ|Ganeri
RBQ75QDX|Hasan
ZPFQPQ7K|Helms
SI5HWMDE|Sharma
XQVWZ4VA|Chamberlain_Petry
RE98NUHD|Ehrenkreutz
32Z6KKJA|Peasnall_Peregrine_Ember
6H9ES35T|Davidson
SHHMVM2F|Law
VQMXJGFR|Collins_Burns
CU2X2EBP|Brett-Smith
6KAKHAUN|Schwartz_Porter_Schwartz
H93BKJRT|Gurney
SKHII5A4|Bryce_Birkett-Rees
3MH2UMCU|Frangipane_Steadman_McMahon
KZTNSXQN|Recht
W2BP39AJ|Herodotus
G5T33NMC|Martin
C2GQDMMV|Hansman
F5C6ZW8B|Boyce
3DA847TK|Kim_et_al
76WHFWNA|Beeston
4D8EQTRS|Bhattacharya
365G54ND|Törzsök
STV5JW6V|Wilks
D9Z3T2K7|Alizadeh
7B3EQPRT|Wright_Johnson
G3X2WMJ4|Hāṇḍā
M2SDP5ZM|Zeimal_Litvinsky_Iskender-Mochiri
V92VWE7N|Golden_et_al
NXBHB6HH|Hanks
GIDWD7R3|Stookey
MC79W5WB|Bausani_Boyle
PZZUI2GS|Miniaev
X8KAPBEB|Miniaev_Sakharovskaia
55S3IQDI|Murail_et_al
QF7M4X8G|Wei
G5M538PX|Findley
286SCJDV|Sundermann
889UZK7N|Wallace_Elverskog
28CX34H7|Jagchid_Hyer
433T5X5B|Onon
H7JNDP8S|Dunn
2JWEIZ88|Priklonski_Krauss
MRR5SU89|NO_CREATOR
NPI97BDZ|Atkinson_Whitehouse
9BJMX2C2|Sudan
ATJMGIDM|Bose
T48IRKXI|von_Glahn
8Q3H6FTC|Liu
9CDGV4ZB|Reinhart
GL4JIIS4|Underhill_Habu_Stark
M9S5FS5W|Liu_Yan_Qin
LJWDCS9Z|Kunzhang_Yonghe_Xiangming
XTHG8P4A|NO_CREATOR
LMV26AIG|NO_CREATOR
X5TGJFA6|Ebrey
9BCEZVY2|Lewis
CILQC84E|Mo_Di_Watson
FT7BVJQG|Wright
K77XBFKG|Ching
GUBJX47E|Fowler
VS54IY8N|Barrett_Bremmer
A4HN8T3A|Hekster
PSXW9R3V|Poblome_Brughmans
2NIQIUDB|Brughmans_Poblome
58FRDM4B|Baruah
PP6JDR93|Ghosh_et_al
9EVTVIVQ|Pires
ZT5677P4|Pratipal
4FWDSXKR|Trivedi
R59KKIJP|Middleton
SMH4PWTX|Penny_Pregadio
TS7X9RLK|李新刚
ENRNJ5WM|李新刚_(Li_Xingang)
TABHAUY4|Mann
H6339HH2|Schliesinger
ZA8THP39|Van_Dijk_Bremmer
688UREJF|Bremmer_Harimoto
8QYAD9Q9|Matsumae_Brown
UPKXDIJB|De_Casparis_Mabbett_Tarling
RML8857D|Tully
CD553A5D|Jordaan_Wessing
XZKMPREN|Hall
UNX6VTY6|Woodward
4KGBEGW6|Freeman
I2XRMXXB|The_Editors_of_Encyclopedia_Britannica
B7ZLLKKX|Kirch
NIIVVPB6|Kirch
LVUUCMYI|Cook
6HG8KQHN|LeBar
9CQQT76G|Arundhati
UTEMJV4F|Chakravarty-Kaul
I2FJEEGX|Champakalakshmi
846VAH9T|Jamkhedkar_Kannal_Parimoo
3XE6PDK9|Flood_et_al
5CXDUKN2|Kumar_et_al
A83D3MIF|Lind
YJ9F5LJ7|Thompson_Hedman_Slater
JXHNG455|Pauketat
GGDHC6GN|Hall_Townsend_Sharp
4K2E649F|Waugh
CXQ3XPCU|St.John
XUG333IN|Wallace
KQBSI2CI|Beauchamp
B9AAEPQA|Cooke_et_al
ZBFQI8B8|Bray_Hearne_Sharer
DHEV5VLP|Tung_Knudson
CN383NK7|Cook_Benson_Cook
HCV86TIU|D'Altroy
S4TZZFHB|Harner
9ITSCXBM|Fahlbusch_et_al
JAK6GASD|Rives
JLKJGGQW|Watts_Eberhart
AIBJNUDH|Young
X5RTC4IG|Long
2Z6NS7HI|Klostermaier
MH38Z2VI|Devi
R6ZCAHKM|Kalia
XCSX56M4|Yi_Ramsey
PBKUQI8W|Dale
SWB4JINE|Perkins
BQVZDU54|Norman_Mei
HH4NQZBM|Spencer_Drennan_Uribe
69JPMNTU|Shepherd
AGQ4PXAS|Shepherd
JJK36F2K|Verma
M4DVA3TZ|Sen
2RFZI738|Verma
E88UVQBS|Chakrabarti_Hansen
FVR2NVJ3|Feng
XJWSDUQS|Bamzai
HN4VBBCF|Abrutyn
TLUCNYI7|Berman
XJ6WJ8PR|Everett_Faber_Crockett
5JTGF4F5|Goldstone
KPH8TID4|Menzies_Haller
HQC4749G|Turchin_et_al
SW8J6AW4|Dillehay
UX7NJ279|Scheidel
XN73PPEH|Nussbaum
QVEQD9Z8|Stiglitz
FCM2EVGT|Hoopes_Peregrine_Ember
MB7573GB|Milanovic_Lindert_Williamson
HWQ88HAU|Stiglitz_et_al
AGCTK3B6|Neumann_Wallrodt
3BBP3IWT|Berrey
A7ANPNRN|Guerra
9UZ5ACVM|Willey
2J9AVXAJ|Freidel_et_al
KDFH529I|Mayo
6DRD2YIK|DeMarrais_Castillo_Earle
EWIFXRJR|Donnan
P8ERGCM3|Benson_Bourget_Jones
F2VAXJSU|O'Connor_Silverman
I2X9QBIF|Higham
YQBH6GMG|Benson_Benson_Cook
Q3UJKXDH|Dillehay_Dumbarton_Oaks
CEUGEUP4|Alva
L4KFWXCT|Dillehay_Verano
YTBINLZM|Burger
VVGNJYPZ|Graham
GSBSCCI9|Eff
GA2346J6|Donnan_Castillo
AGWISBC6|Quilter
ALP63HSF|Verano
N59KNM75|Reinhard
4P77X8XP|Besom
V88A4MAT|Dillehay_Rowe
LFXG8EZP|Harrington_Gelfand
Z9PNCQQ6|Harrington_Boski_Gelfand
8PMAV2WZ|Gelfand_Nishii_Raver
8TSL38VW|Gelfand_et_al
GM4ZZXER|Vandello_Cohen
ETVRWTAA|Woodard
YWKTARXG|Rentfrow_Gosling_Potter
KPJYD99S|Roos_et_al
M7CDKCQS|Bockstette_Chanda_Putterman
2P9RNFKX|François_et_al
NJDJQJLL|Dryer_Haspelmath
RXK9C8AQ|Nielsen
7LKWWI42|Baumard_Chevallier
WIRTVIAZ|Aung-Thwin_Aung-Thwin
34Q2RXHI|Yang
BA7NAP4G|Blackmore
HRKZBT86|Yang
3GJ69F3Y|Dammert
V5TYZHGS|Hoyer
MNWJ4I3D|Theobald
RV6544X8|NO_CREATOR
8J2YS3HC|Turchin_Adams_Hall
G2YESLX9|Theobald
KV2Z3NRA|Schimmel
R28XQTGR|El_Guindi
SG427S24|Zahorka
C7P45ZXS|Glover_Bellwood
3C9E4GGU|Ooi
VPRCGQZ2|Miksic_Bellwood_Glover
8B2FNCCB|Bulbeck_Peregrine_Ember
9ZJZ2GTU|Tarling
IW2QQS32|Van_der_Meulen
MSC4XB3U|Raben_Ooi
ZP6DK6CQ|Miksic_Ooi
F7XSATPJ|Soetarno
ZQM9V5I9|Sedyawati_Ooi
G7EABRE5|Poerbatjaraka
BSW8D5IS|De_Casparis
K9T2TGWQ|Muljana
NVH9PTZZ|Draeger
X6SPNBK3|Gaukroger_Scott
R4MTDRHV|Herbert_Rahardjo
852TK7QA|Boechari
C8X93TBJ|Poesponegoro_et_al
5F72DK2S|Hall
WDFB655M|Kinney_Klokke_Kieven
75W6QN5C|Sedyawati_Ooi
KKW63NZB|Sedyawati_Ooi
KB6RNAPC|Schoppert
KT33P79J|Charney
WDD4SN9M|Sedyawati_Ooi
AQEK3AXD|Miksic
IA5VSH8J|Reid
UMJH8TG9|Robson_Bade
AKB9SKJ6|Robson
CTTM6X7C|Lamoureux
XAR257VE|Hall
22PKTPN8|De_Casparis
MZVNJQ8K|Moertono
F5Q5ID44|Ricklefs
A5Q74539|Schrieke
3IP5WKNP|Miksic_Ooi
6B9N39RU|Van_der_Eng_Ooi
5SXVFFIU|Reid_Tarling
ZDFVU9DI|Achmad_Nurcholis
3RBZDVWI|Shatzmiller
8442CQU3|Nylander
T466P9DV|Farazmand
E62QMEHH|Brian_Allfree_Cairns
6FAH3T3S|Fischer-Bovet
5BTHT9IH|Gabriel_Metz
PSD7EDZH|Baker
HSHAKZ3X|Keay
U6TJNUXT|Fitoussi_Sen_Stiglitz
IJFSICYW|Hughes
BR5BG2VZ|Cooke_Ranere_Clutton-Brock
HHP6V478|DeYoung
EXUW23F2|Joyce
67NRPWJH|Lothrop
FS477VIH|Corrales_Ulloa_Peregrine_Ember
XD9F8N7W|Peregrine_et_al
WSR7NRVP|Hoopes_Chacon_Dye
46BQV3PH|Andagoya_Markham
2S9WP8MF|Espinosa_Jopling
AGFNHAR6|Flannery_Marcus
PVDT6ZEF|Atkinson
V5Z87AF6|Moser
6K74AJSX|Cooke
7KNJH3C3|Cooke_Barnett_Hoopes
IQPNWNH9|Cooke_Ranere
P9ZEBWQI|Cooke_Peregrine_Ember
SM22NI6C|Cooke_et_al
NDDUEMMJ|Cooke_et_al
EWW3Q2TA|Evans
6VT8AQGS|Haller
VMNGHPJG|Hansell
XAFBRRGH|Huard
VXFJR5DI|Iizuka
CFE38PTP|Linares_Young_Howe
VJH4HH2E|Linares
NSIFKB9W|Locascio
G87FEZTU|Martin
KUBS7R7B|Mayo_Mayo
XRDWJTP3|McGimsey_McKern
99MPH47X|Norr_Stahl
VH686HIE|Olsen_Bruhns_Lange
65ZCGPTI|Oviedo_y_Valdés
SFU2W7R3|Piperno_Bush_Colinvaux
8KSGIS5K|Piperno_Pearsall
4AAQA8R6|Ranere_Greenfield
MGMKSVIK|Raymond_Silverman_Isbell
BHH43S3C|Rossen_Dillehay
UFUMR2PE|Sheets_Oliver-Smith_Hoffman
SIIQFT8P|Briggs
P9PFKQR3|Haberland_Skirboll_Creamer
78NVHQ4E|Cooke_Ranere_Lange
B6PW6RYP|Harris
PNRUQIBS|Martín-Rincón_Sánchez
359MUBJ3|Mayo_Torné_et_al
9KSBSS4I|Browman_et_al
QG4ASWRA|Prieto_et_al
EXA3PD6N|Dement_et_al
FX8RQ6JZ|Romey
QHD6TMRT|Oyuela-Caycedo_Silverman_Isbell
5GAVFRJG|Moore
DJI34ZFF|Lleras_Pérez_Renfrew_Bahn
ZHSIBUET|Piperno
NDGPRDJD|Oyuela-Caycedo
C3MXUB5X|Engwall_Peregrine_Ember
9SC4PDXB|Langebaek_et_al
4K6JXEH2|Wynn
PTBEXT4X|Langebaek_Quilter_Hoopes
IE6RS3RZ|Mason
EPB4AB88|Giraldo
M2ZQSKRZ|Giraldo
IJGBEW43|Reichel-Dolmatoff
JXSHPUDH|Giraldo
2IVAXCX2|Midant-Reynes_Shaw
STXKCK5E|Dougherty_et_al
CAXCX549|Crubézy_Midant-Reynes
ZK4788F4|Mumford_Lloyd
UFICIC3E|Anđelković
QHEJCDIV|Josephson_Dreyer
3FBJXAZU|Hendrickx_Eyckerman_Förster
CQ7TW9PJ|Gatto
9REVEK4R|Morris_Laneri
DJ4ESBFF|Wilkinson
KPZIH35P|O'Connor
Q5BVTVI3|Bestock
