zotero_link|creator
NPVRP2IM|Shaughnessy_Loewe_Chang
WEE2BW9N|Michel
XH2DCUDP|Cleary
AWVPNHQN|Kuz'mina_Mair
VHSJBD4G|Askarov_Dani_Masson
9JNR5MEV|Gelpern
U6KVVRI3|Rapoport
QE37R7HS|Mairs_Eidinov_Kindt
GDAX84ME|Abrutyn_Turner
RS8FBHKQ|Numrich_et_al
UCZZ78MM|Mairs
5KXVNDRB|Okumura_Huffer_Eggers
M5YAAJ5X|Twitchett_Chaffee_Chaffee
UCGTB9WR|Twitchett_Chaffee_Bol
B3AR2DXZ|Cohen
22KY36FQ|Chuang_D'Orsogna
32LPCL56|Wand_Hoyer
N5H56CQT|Borcan_Olsson_Putterman
PLFEKHIB|Tao
A9NXNWDG|Isaacs_Marat
R5WGLFT6|Brozović
D4CIEF5F|Tooze
QTI79LX9|Miksic
C7FI9FXH|Miksic_Reddish
3SE4ERE4|LITVINSKII_PICHIKIAN
QNNZKCCV|MARTINEZ-SÈVE
KB8CH6RU|Feinman_Neitzel
8X7IM68F|Urcid
PH7G7F3K|Gonzáles_Licón
H8NEXZPW|Emmerick
FSR36C9W|Nelson_et_al
QEZRJNAD|Wills_Drake_Dorshow
E5KVFKS3|Ayalon
CU456EVQ|Singer_Wasserstein_Ayalon
U3N7XWLA|Vernadsky
Q43QX75C|Burney
FD3TFSU8|Benjamin_et_al
HR7RXZ4H|Liu
V8KXSU6Q|Golden
Q2ZFM2K9|de_la_Vaissière
WZJE99PJ|Yakubovich
SWXZ7ZI2|Fagan
4D587SD7|Xiao_et_al
AVAXKXJ6|Li_et_al
5BG32WI9|Will
AVVW5EHF|Will_Wong_Wong
UCWVIQMW|Li
WME494MX|Shiue_Shiue
32MEATBR|Spence
LZFUCH3Y|Sng
TYV4X3AJ|Luterbacher_et_al
URTNHIMB|Soon_Yaskell
KESQE9UV|Sokoloff
J53ZA45U|Baldick
6FWWDVRA|Bryce
C9MXCBZH|Comas-Bru_et_al
CIN5ZGWJ|Hawkins
6TWTFZQ3|Wright
KIBRIVSQ|Bryce
R32STCTK|Flood_Witzel
P3SYDZ9C|Flood_Brockington
TESFCKPW|Mitchell
RP3JD4UV|Kann
LH9642LL|Adams
EWAH9MDT|Pastor
U6WU7BXU|Dorfler_et_al
296CDNFE|Klengel_Genz_Mielke
4UEK83A9|Shivley_McCullough
629UBB8B|McCullough
9MI5RXQD|Bilimoria_et_al
EZIGWJWB|Sinor_Sinor
5S8SMRSW|Sinor
62JWZDKP|Divitçioğlu
CRA5UBH9|Atwood
DWCL9RT9|Thebaud_Locatelli
XH5FYGFH|Gintis
C9JHB65A|Bertacchini_Grazzini_Vallino
852TBZ3M|Gavrilets
ZH4S7US4|Findley
3RI3PUNK|Beckwith
9U8K89BD|Marshak_Negmatov
WW8P2A7R|Frye_Litvinsky
4RCV22MW|Lempert_Popper_Bankes
LGKJPVKH|Hanlon
BYVERKGN|Crotty
PSNJIZPA|Grenet
PG2BCWW7|Lieu
V8KA2GID|Zhivkov
5DKFWTIA|Benjamin_Mikkelsen_Parry
KPHSH2YA|Taylor
YVGGAIYI|Descola
CG8RMGG5|NO_CREATOR
NX7AFSZ9|Singer
WIKBRIF9|Hawkins
8JITLNDY|Jackson_Victor
U7CJ772Q|Hickel_et_al
5TT58SDG|Roller
6TLYSD6V|MacMillan
9VHIC77U|MacMillan
JCV7JJME|Sams
KYV3UY87|Winter_Blomster
FSHAULDL|Mulder_et_al
L9QAY4KB|Cowgill_Nichols_Pool
3BA33PP2|Feinman_Carballo
TJBE6FIK|Rojas_Beccan_Dávila_Hein
IBWFAEM4|Thuesen
IVPBDCUU|Laruelle
FSKQ8E3G|Drompp_Di_Cosmo_Maas
36P5RWGE|Balsera_et_al
PVMUND93|Green
YGH7X5IQ|Blanton_et_al
XKJKPUNI|Aleksandrov
9GFYR7PZ|Thurston
7PVPWGPT|Holland-Lulewicz_et_al
HHCT2VXC|Pugh_et_al
W2K5SVRC|Tan
URFI3WZV|Fargher_Blanton_Heredia_Espinoza
6KGNLHHG|Pluckhahn_Jackson_Rogers
GV7HZHVX|Stark_Stoner
9G8U9SAN|Heredia_Espinoza
HCUBVHXX|Birch
NBY2N2Q3|Steckel_Rose
HRYUZHQS|Wood_et_al
T37NVJB7|Cohen_Armelagos
BJE9BUQD|Beck
FCTP6NCK|Rutherford
QGQGS5JQ|Sams
FX9QA4ZF|Hutter
SGNVBGZC|Grigoryan_et_al
GDIFVSAE|Preiser-Kapeller
QR7B5S2A|Preiser-Kapeller_Guidetti_Meinecke
HV3I59AY|Turchin
7C4ES2U5|van_Bavel_Campoplano_Dijkman
SHMXM8B5|Shoji_Yamamura
YXWNKDRE|Murdoch
ECYEW677|NO_CREATOR
Q6PBK37N|Perkins
26HZ5WH7|Hall_Mass
8FYHDJTL|NO_CREATOR
KHPHGGQT|NO_CREATOR
TFIJK46Z|Acuna-Soto_et_al
K3JAHFRY|Acuna-Soto_et_al
M8JQHCMQ|Marcott_et_al
CEPLGU8Y|Shakun_et_al
RB99KW76|Hanhijärvi_Tingley_Korhola
IYV7HXNC|Li_Nychka_Ammann
6MCGX2QU|NO_CREATOR
CZT6V63U|Benati_Guerriero
MX6N2DFQ|Kennett_Kennett
PA947EGD|Pamuk
EKRFIXQM|Alfani
4HH3M5PJ|Tjandrasasmita_Ooi
HW2PDR5U|Yudohusodo_Gahral_Adian_Arivia
KRNDIV7N|Baumann_Melton
BWEIFIZ6|Dowdle_Beeson,_Stubbs
ITTMUHCI|Mallowan
3CZGVV6T|Ross_Steadman
8PVA3GU3|Hall
3NBRJC75|Santosa
WNE7S8K6|PIGEAUD_DE_GRAAF
MRXMJZD2|Stride_Ifeka
T78KT94I|Wesler
3UNN7TBE|Potts
77582KD2|Tarling
9NINDDJM|Kinney_Klokke_Kieven
6ZG6G5UB|Hunter
VZFC6TGB|Hall_Mackenzie
5C2TTZUZ|Sedwayati_Ooi
3AC4ZQG2|Sadyawati_Ooi
RSR2X6GK|Peatfield
SUJW76NB|Ucko
ERWSUV3H|Yian_Miksic
FCKP7S69|Tomkins
7SJIX8HS|Peasnall_Peregrine_Ember
HPME6QZ8|Susanti_et_al
CSXC75UA|Weeks_Potts
ER469ZUJ|Alizadeh
EE38S3BW|de_Casparis
CTGRM7TP|Wicks
RACKKD8N|Colburn
LF2HF8BQ|Henley_Henley_Nordholt
ZKUQ98T8|Christie
4DNVWKU7|Gregory
BVIRJUZ3|Shepard_Reuter
67DQ6G7C|Liverani_Tabatabai
KSBDAXIZ|Abrahamian
F5FDRW63|Alizadeh,
S2Y7CDFK|Fragner
SFURPNGJ|NO_CREATOR
TW4KFLKI|Aperghis
MZF3NA2B|Lambton
PKWU53CQ|Nagahara
B46WGTBV|Kamen
JV2IZ3HT|Vilches_McCloskey_Lopez_Alemany
VKN55ITW|Oudijk
T9TSI8C9|Foard
JNU86DSA|NO_CREATOR
CN7JEW65|Soles
NSVDLU9S|Diehl_Lomas_Wynn
GRU6KENK|Nichols_Berdan_Smith
X26LPHHC|NO_CREATOR
4LSBLLSL|NO_CREATOR
UWGV3UXP|Fonseca
PZXKGTTV|Moreno-Brid_Ros
76ECCNJ5|Bhattacharji
MR9PRY57|NO_CREATOR
G26DD4X8|Henrickson
K6DQV2AP|Lind
GIPNU8N8|Winter_et_al
WC86HATN|Flannery_Marcus
F2N66HRR|Marcus_Flannery
FCNNFZMT|Reichmuth_et_al
6I8H4JAP|Hanson
UFB5HXJJ|Ọlọruntimẹhin
B5N4V3HR|de_Bruijn_et_al
T52VQAVG|Roberts
9NRS9DMC|Robinson_Levtzion_Pouwels
6MSR98P5|Hunwick_Jestice
FRHSRNAJ|Coquery-Vidrovitch
VKIFJ9FP|Batran
4GG9V4QK|Nobili_Syed
PXDVIDVZ|Nobili
58JPZA4U|Marcus-Sells
UG772RAH|Kane
WRGDD8WE|Bradshaw
ATK89B9D|Johnson
ZEG8QMQQ|Spaeth_Pongratz-Leisten
6PGJPJ6C|Butterlin_Laneri
VV3ICSVM|Rothman
NBC5PNFU|Driessen
K3HX78FZ|Poursat
Q36DBGE8|Oates_Renfrew_Bahn
26KP97JQ|Pollock
9EAUWW2J|Schmandt-Besserat_et_al
FPKFTCQK|NO_CREATOR
VIH9FBFI|Mousavi_Potts
F59STVVV|Johnson_Whitehouse_Martin
BXU2MSF6|Kazuo
3WV326EB|von_Furer-Haimendorf
2RAFS9A4|Symonds
L5D4GTHQ|NO_CREATOR
BK7IXSKS|NO_CREATOR
RZRGPDXU|Price
X396WBPN|Younger_Rehak
